"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"4266","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP146/2024-2025/159912","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","21-Feb-2026","THE MEET COOPERATIVE LABOUR AND CONSTRUCTION SOCIETY LTD SAJUMA","Payment Success","995935"
"4267","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2025-2026/227442","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","04-May-2026","GRAM PANCHAYAT SAGONI KHURD","Payment Success","375000"
"4268","Kerala","Purchase of hospital equipment","WS/MP18405/2025-2026/241007","WAYANAD(DISTRICT COLLECTOR WAYANAD_IDA)","Shri P. P. Suneer (2024-30) (2024-2030)","Elected MP","11-Apr-2026","MEZRAW SOLUTIONS","Payment Success","487345"
"4269","Punjab","Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","WS/MP844/2024-2025/152844","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","20-Mar-2026","MAP ASSOCIATES","Payment Success","67184"
"4270","Punjab","Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","WS/MP844/2024-2025/127389","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","30-Jan-2026","MAP ASSOCIATES","Payment Success","3662837"
"4271","Punjab","Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","WS/MP844/2024-2025/152844","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","30-Jan-2026","MAP ASSOCIATES","Payment Success","647163"
"4272","Tamil Nadu","Construction of community centers and community halls","WS/MP155/2025-2026/261384","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Shri P. Wilson (2025-31) (2025-2031)","Elected MP","30-Jan-2026","THAMOTHARAN L","Payment Success","2994682"
"4273","Tamil Nadu","Construction of community centers and community halls","WS/MP155/2025-2026/261384","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Shri P. Wilson (2025-31) (2025-2031)","Elected MP","21-Jul-2026","THAMOTHARAN L","Payment Success","2005318"
"4274","Rajasthan","Construction of community centers and community halls","WS/MP145/2025-2026/230421","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","15-Apr-2026","T K ENTERPRISES","Payment Success","1134713"
"4275","Tamil Nadu","Construction of community centers and community halls","WS/MP155/2025-2026/261385","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Shri P. Wilson (2025-31) (2025-2031)","Elected MP","12-May-2026","SARAVANAN S","Payment Success","2463297"
"4276","Tamil Nadu","Construction of community centers and community halls","WS/MP155/2025-2026/261385","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Shri P. Wilson (2025-31) (2025-2031)","Elected MP","30-Jan-2026","SARAVANAN S","Payment Success","2534862"
"4277","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP171/2024-2025/144805","RAJANNA SIRCILLA(DISTRICT COLLECTOR RAJANNA SIRCILLA_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","30-Jan-2026","Navid Ansari Mohammed","Payment Success","973481"
"4278","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP846/2025-2026/149208","RAJANNA SIRCILLA(DISTRICT COLLECTOR RAJANNA SIRCILLA_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","23-Jul-2026","Navid Ansari Mohammed","Payment Success","569886"
"4279","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP846/2025-2026/149212","RAJANNA SIRCILLA(DISTRICT COLLECTOR RAJANNA SIRCILLA_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","23-Jul-2026","Navid Ansari Mohammed","Payment Success","478085"
"4280","West Bengal","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP220/2024-2025/171199","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Derek O' Brien (2023-29) (2023-2029)","Elected MP","07-Feb-2026","KANJI SURGICAL PRIVATE LIMITED","Payment Success","878808"
"4281","West Bengal","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP217/2024-2025/171179","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Mohammed Nadimul Haque (2024-30) (2024-2030)","Elected MP","07-Feb-2026","HOSCO PRIVATE LIMITED","Payment Success","65520"
"4282","West Bengal","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP18299/2024-2025/171164","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Smt. Sagarika Ghose (2024-30) (2024-2030)","Elected MP","07-Feb-2026","UNIQUE MEDICAL AGENCY","Payment Success","317520"
"4283","West Bengal","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP218/2024-2025/171165","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Ms. Dola Sen (2023-29) (2023-2029)","Elected MP","07-Feb-2026","MEDITECH SYSTEM","Payment Success","46200"
"4284","West Bengal","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP893/2024-2025/171163","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","07-Feb-2026","D K MEDICAL AGENCY","Payment Success","72000"
"4285","Maharashtra","Installing community drinking water plants","WS/MP18294/2025-2026/206500","GONDIA(DISTRICT COLLECTOR GONDIA_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","25-Feb-2026","PRAVIN SURENDRABAHADUR SOMVANSHI","Payment Success","953199"
"4286","Chandigarh","Providing drains and gutters for public drainage","WS/MP18365/2026-2027/279848","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","14-Aug-2026","Akash Pipes","Payment Success","30385"
"4287","Sikkim","Construction of public libraries and reading rooms","WS/MP18282/2025-2026/206584","Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","10-Mar-2026","Tenzing Sherpa","Payment Success","499916"
"4288","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18292/2025-2026/185845","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","03-Feb-2026","NARSINHA MAJUR SAHAKARI SANSTHA M BARHALI TQ MUKHED","Payment Success","995437"
"4289","Kerala","Purchase of vans and buses for educational institutions","WS/MP101/2025-2026/205263","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","05-Feb-2026","The Head Mistress","Payment Success","102234"
