"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"24784","Bihar","Installing hand pumps","WS/MP18300/2024-2025/137300","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","27-Feb-2025","ASSISTANT ENGINEER BARH","Payment Success","81843"
"24785","Bihar","Installing hand pumps","WS/MP18300/2024-2025/137274","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","27-Feb-2025","ASSISTANT ENGINEER BARH","Payment Success","81843"
"24786","Bihar","Installing hand pumps","WS/MP18300/2024-2025/137297","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","27-Feb-2025","ASSISTANT ENGINEER BARH","Payment Success","81843"
"24787","Bihar","Installing hand pumps","WS/MP18300/2024-2025/137340","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","28-Dec-2024","ASSISTANT ENGINEER BARH","Payment Success","81885"
"24788","Bihar","Installing hand pumps","WS/MP18300/2024-2025/137342","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","28-Dec-2024","ASSISTANT ENGINEER BARH","Payment Success","81885"
"24789","Bihar","Installing hand pumps","WS/MP18300/2024-2025/137345","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","28-Dec-2024","ASSISTANT ENGINEER BARH","Payment Success","81885"
"24790","Bihar","Installing hand pumps","WS/MP18300/2024-2025/137351","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","28-Dec-2024","ASSISTANT ENGINEER BARH","Payment Success","81885"
"24791","Bihar","Installing hand pumps","WS/MP18300/2024-2025/145821","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","06-Mar-2025","ASSISTANT ENGINEER BARH","Payment Success","81860"
"24792","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2024-2025/136886","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","21-Mar-2025","ASSISTANT ENGINEER BARH","Payment Success","1484751"
"24793","Bihar","Installing hand pumps","WS/MP18300/2024-2025/137313","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","10-Jan-2025","ASSISTANT ENGINEER BARH","Payment Success","81843"
"24794","Bihar","Installing hand pumps","WS/MP18300/2024-2025/137352","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","10-Jan-2025","ASSISTANT ENGINEER BARH","Payment Success","81885"
"24795","Bihar","Installing hand pumps","WS/MP18300/2024-2025/137267","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","10-Jan-2025","ASSISTANT ENGINEER BARH","Payment Success","81843"
"24796","Bihar","Installing hand pumps","WS/MP18300/2024-2025/137268","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","10-Jan-2025","ASSISTANT ENGINEER BARH","Payment Success","81843"
"24797","Bihar","Installing hand pumps","WS/MP18300/2024-2025/137273","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","10-Jan-2025","ASSISTANT ENGINEER BARH","Payment Success","81843"
"24798","Bihar","Installing hand pumps","WS/MP18300/2024-2025/137337","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","10-Jan-2025","ASSISTANT ENGINEER BARH","Payment Success","81885"
"24799","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18332/2026-2027/275305","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Dharmshila Gupta (2024-30) (2024-2030)","Elected MP","28-Apr-2026","ASSISTANT ENGINEER BARH","Payment Success","1482880"
"24800","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18332/2026-2027/275306","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Dharmshila Gupta (2024-30) (2024-2030)","Elected MP","28-Apr-2026","ASSISTANT ENGINEER BARH","Payment Success","1483061"
"24801","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP041/2025-2026/222547","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Faiyaz Ahmad (2022-28) (2022-2028)","Elected MP","06-Feb-2026","ASSISTANT ENGINEER BARH","Payment Success","360619"
"24802","Bihar","Installing hand pumps","WS/MP001/2025-2026/196560","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Feb-2026","ASSISTANT ENGINEER BARH","Payment Success","81782"
"24803","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/12796","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","03-Nov-2023","ASSISTANT ENGINEER BARH","Payment Success","1484974"
"24804","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/37288","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","09-Nov-2023","ASSISTANT ENGINEER BARH","Payment Success","1484810"
"24805","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/37287","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","09-Nov-2023","ASSISTANT ENGINEER BARH","Payment Success","1484500"
"24806","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/49366","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","20-Dec-2023","ASSISTANT ENGINEER BARH","Payment Success","870958"
"24807","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/1218","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","27-Dec-2023","ASSISTANT ENGINEER BARH","Payment Success","1484940"
"24808","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP052/2023-2024/19505","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","29-Dec-2023","ASSISTANT ENGINEER BARH","Payment Success","1435329"
"24809","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/12797","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","19-Oct-2023","ASSISTANT ENGINEER BARH","Payment Success","1484900"
"24810","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/12794","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","13-Oct-2023","ASSISTANT ENGINEER BARH","Payment Success","1484400"
"24811","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/12795","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","13-Oct-2023","ASSISTANT ENGINEER BARH","Payment Success","1484894"
"24812","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/1216","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","16-Sep-2023","ASSISTANT ENGINEER BARH","Payment Success","1486089"
"24813","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/1215","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","16-Sep-2023","ASSISTANT ENGINEER BARH","Payment Success","1484933"
"24814","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/1217","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","19-Sep-2023","ASSISTANT ENGINEER BARH","Payment Success","1484550"
"24815","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/82731","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","06-Mar-2024","ASSISTANT ENGINEER BARH","Payment Success","574168"
"24816","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/1494","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","06-Mar-2024","ASSISTANT ENGINEER BARH","Payment Success","989898"
"24817","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2025-2026/230398","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","16-Dec-2025","ASSISTANT ENGINEER BARH","Payment Success","1385183"
"24818","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/1495","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","01-Feb-2024","ASSISTANT ENGINEER BARH","Payment Success","989710"
"24819","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/1493","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","01-Feb-2024","ASSISTANT ENGINEER BARH","Payment Success","1484800"
"24820","Karnataka","Construction of culverts and bridges","WS/MP833/2025-2026/177949","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","07-Mar-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","825000"
"24821","Karnataka","Construction of culverts and bridges","WS/MP833/2025-2026/177949","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","10-Jan-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","2475000"
"24822","Karnataka","Setting up of farmers’ training and assistance centers","WS/MP833/2025-2026/178271","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","12-Jan-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","750000"
"24823","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2025-2026/177997","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","17-Dec-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","1500000"
"24824","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2024-2025/74908","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","17-Dec-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","375000"
"24825","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2025-2026/177983","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","27-Jan-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","3750000"
"24826","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2025-2026/177985","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","27-Jan-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","1875000"
"24827","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2025-2026/177988","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","03-Feb-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","1125000"
"24828","Karnataka","Providing supply pipelines for drinking water","WS/MP833/2025-2026/178226","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","03-Feb-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","750000"
"24829","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2025-2026/177649","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","31-Jan-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","600000"
"24830","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2025-2026/177648","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","31-Jan-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","600000"
"24831","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2025-2026/16125","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","09-Sep-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","2500000"
"24832","Karnataka","Construction of rooms and halls in school and colleges","WS/MP833/2025-2026/16152","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","09-Sep-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","1000000"
"24833","Karnataka","Construction of footpaths and pedestrian ways","WS/MP833/2025-2026/178001","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","12-Sep-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","750000"
"24834","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2024-2025/16190","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","06-Jun-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","750000"
"24835","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2024-2025/16147","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","06-Jun-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","750000"
"24836","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2024-2025/16146","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","29-May-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","600000"
"24837","Karnataka","Construction of rooms and halls in school and colleges","WS/MP833/2024-2025/16187","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","29-May-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","750000"
"24838","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2024-2025/16194","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","29-May-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","375000"
"24839","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2024-2025/16193","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","29-May-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","525000"
"24840","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2024-2025/74911","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","29-May-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","750000"
"24841","Karnataka","Construction of community centers and community halls","WS/MP084/2024-2025/24465","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","13-Jun-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","375000"
"24842","Karnataka","Installing community drinking water plants","WS/MP833/2024-2025/16127","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","18-Jun-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","1500000"
"24843","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2024-2025/92740","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","21-Sep-2024","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","750000"
"24844","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2024-2025/92741","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","27-Sep-2024","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","3750000"
"24845","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2024-2025/16239","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","27-Sep-2024","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","500000"
"24846","Karnataka","Providing drains and gutters for public drainage","WS/MP833/2024-2025/74909","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","21-Sep-2024","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","375000"
"24847","Karnataka","Providing drains and gutters for public drainage","WS/MP833/2024-2025/74909","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","17-Oct-2024","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","125000"
"24848","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2024-2025/92740","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","15-Oct-2024","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","250000"
"24849","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2024-2025/16149","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","15-Oct-2024","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","800000"
"24850","Karnataka","Construction of rooms and halls in school and colleges","WS/MP833/2024-2025/16120","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","06-Nov-2024","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","187500"
"24851","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2024-2025/92741","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","06-Nov-2024","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","1250000"
"24852","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2024-2025/16188","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","06-Nov-2024","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","1500000"
"24853","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2024-2025/16189","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","23-Aug-2024","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","1500000"
"24854","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2023-2024/74907","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","26-Aug-2024","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","1600000"
"24855","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2024-2025/74910","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","26-Aug-2024","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","2000000"
"24856","Karnataka","Purchase of training equipment","WS/MP833/2024-2025/16123","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","28-Aug-2024","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","750000"
"24857","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2024-2025/74904","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","15-Jul-2024","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","3000000"
"24858","Karnataka","Providing drains and gutters for public drainage","WS/MP833/2024-2025/16122","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","24-Jun-2024","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","600000"
"24859","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2024-2025/16095","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","24-Jun-2024","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","2500000"
"24860","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2023-2024/16098","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","29-Apr-2024","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","3000000"
"24861","Karnataka","Construction of community centers and community halls","WS/MP833/2025-2026/16089","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","17-Jun-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","2000000"
"24862","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2025-2026/177950","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","15-Jun-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","525000"
"24863","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2025-2026/178222","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","05-Aug-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","750000"
"24864","Karnataka","Installation of fixed garden gym equipment","WS/MP833/2025-2026/16097","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","06-Nov-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","375000"
"24865","Karnataka","Construction of rooms and halls in school and colleges","WS/MP833/2024-2025/16187","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","05-Nov-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","250000"
"24866","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2024-2025/74901","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","28-Oct-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","375000"
"24867","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2024-2025/74899","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","28-Oct-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","375000"
"24868","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2025-2026/178003","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","04-Nov-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","750000"
"24869","Karnataka","Providing drains and gutters for public drainage","WS/MP833/2025-2026/178233","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","04-Nov-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","750000"
"24870","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP833/2025-2026/177994","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","16-Oct-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","300000"
"24871","Karnataka","Providing drains and gutters for public drainage","WS/MP833/2025-2026/178229","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","04-Oct-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","750000"
"24872","Karnataka","Providing drains and gutters for public drainage","WS/MP833/2025-2026/178232","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","04-Oct-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","750000"
