"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"40972","Punjab","Construction of buildings for community cultural activities","WS/MP18311/2024-2025/142734","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","30-Jun-2025","Dhaman Bricks Traders Bagwali","Payment Success","13400"
"40973","Punjab","Construction of buildings for community cultural activities","WS/MP18311/2024-2025/142734","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","30-Jun-2025","Swran Singh","Payment Success","51600"
"40974","Punjab","Construction of buildings for community cultural activities","WS/MP18311/2024-2025/142734","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","30-Jun-2025","Swran Singh","Payment Success","15840"
"40975","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18394/2024-2025/155967","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","15-May-2025","R Senthilkumar","Payment Success","349374"
"40976","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137047","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","22-May-2025","I MAX SCIENCE HOUSE","Payment Success","400000"
"40977","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137051","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","23-May-2025","I MAX SCIENCE HOUSE","Payment Success","400000"
"40978","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137074","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","23-May-2025","I MAX SCIENCE HOUSE","Payment Success","400000"
"40979","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137075","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","23-May-2025","I MAX SCIENCE HOUSE","Payment Success","400000"
"40980","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137076","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","23-May-2025","I MAX SCIENCE HOUSE","Payment Success","400000"
"40981","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137077","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","13-Jun-2025","I MAX SCIENCE HOUSE","Payment Success","400000"
"40982","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137078","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","23-May-2025","I MAX SCIENCE HOUSE","Payment Success","400000"
"40983","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137079","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","23-May-2025","I MAX SCIENCE HOUSE","Payment Success","400000"
"40984","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137080","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","23-May-2025","I MAX SCIENCE HOUSE","Payment Success","400000"
"40985","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137052","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","23-May-2025","I MAX SCIENCE HOUSE","Payment Success","400000"
"40986","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137082","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","05-Jan-2026","I MAX SCIENCE HOUSE","Payment Success","400000"
"40987","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137083","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","09-Dec-2025","I MAX SCIENCE HOUSE","Payment Success","400000"
"40988","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137084","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","08-Dec-2025","I MAX SCIENCE HOUSE","Payment Success","400000"
"40989","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137085","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","09-Dec-2025","I MAX SCIENCE HOUSE","Payment Success","400000"
"40990","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137086","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","05-Jan-2026","I MAX SCIENCE HOUSE","Payment Success","400000"
"40991","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137087","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","05-Jan-2026","I MAX SCIENCE HOUSE","Payment Success","400000"
"40992","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137048","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","09-Dec-2025","I MAX SCIENCE HOUSE","Payment Success","400000"
"40993","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137049","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","09-Dec-2025","I MAX SCIENCE HOUSE","Payment Success","400000"
"40994","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137050","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","05-Jan-2026","I MAX SCIENCE HOUSE","Payment Success","400000"
"40995","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137090","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","05-Jan-2026","I MAX SCIENCE HOUSE","Payment Success","400000"
"40996","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137095","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","24-May-2025","I MAX SCIENCE HOUSE","Payment Success","400000"
"40997","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137093","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","24-May-2025","I MAX SCIENCE HOUSE","Payment Success","400000"
"40998","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137058","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","25-May-2025","I MAX SCIENCE HOUSE","Payment Success","400000"
"40999","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137068","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","03-Jun-2025","I MAX SCIENCE HOUSE","Payment Success","400000"
"41000","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137072","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","03-Jun-2025","I MAX SCIENCE HOUSE","Payment Success","400000"
"41001","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137089","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","24-May-2025","I MAX SCIENCE HOUSE","Payment Success","400000"
"41002","Andhra Pradesh","Setting up of laboratories","WS/MP18007/2025-2026/137066","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","24-May-2025","I MAX SCIENCE HOUSE","Payment Success","400000"
